Title	URL	Assignees	Status	Task Type	Nature	Epic	Time Estimation	Sprint	Time Taken
Account and group management			Done in Sprint 5		User Story	1			
Channels	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/18		Product Backlog		User Story	1			
Invite friends with link			Done in Sprint 5		User Story	1			
Navigation in the app			Done in Sprint 5		User Story	1			
Strengths 	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/21		Product Backlog		User Story	1			
Sharing Study Material	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/20		Product Backlog		User Story	1			
Setup SonarCloud	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/10	cemuelle, TdVBd	Done in Sprint 4	Backend	Sprint Task	1	2	Sprint 1	4
Application Locker	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/7		Product Backlog		User Story	2			
Add friends with number			Product Backlog		User Story	1			
General chat			Done in Sprint 5		User Story	1			
Video Call	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/8		Product Backlog		User Story	2			
Epic 1			Product Backlog		User Story	1			
Epic 2			Product Backlog		User Story	2			
modify the UI size of the solo study screen so it can fit a phone screen	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/83	Ovoland	Done in Sprint 5	Frontend	Sprint Task		0.5	Sprint 5	0.5
Add ability to send pictures or files in chats	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/137	cemuelle	In Development	Backend	Sprint Task	2	5	Sprint 7	
Implement topics chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/110	cemuelle	In Development	Frontend	Sprint Task	2	2	Sprint 7	
Create new private Chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/121	cemuelle	In Development	Frontend	Sprint Task	2	2	Sprint 6	
Reformat CreateAccount	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/86	Ovoland	In Development	Frontend	Sprint Task	1	3	Sprint 7	
Implement a call lobby before joining a call	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/126	Freezemoon	In Development	Frontend	Sprint Task	2	5	Sprint 7	
Implement calls for each group and fix returning to call bug	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/125	Freezemoon	In Development	Backend	Sprint Task	2	7	Sprint 7	
Video Call Backend Implementation	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/103	Freezemoon	Done in Sprint 6	Backend	Sprint Task	2	6	Sprint 6	8
Implement contact list database	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/108	TdVBd	Done in Sprint 6	Backend	Sprint Task	2	4	Sprint 6	6
Create topics	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/65	hanelmouta, Svannia	Done in Sprint 6	Backend	Sprint Task	1	2	Sprint 6	
Implement Topic Screen Creation	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/133	hanelmouta	Done in Sprint 6	Backend	Sprint Task	2	5	Sprint 6	5
Implement Setting Topic screen.	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/132	hanelmouta	In Review	Backend	Sprint Task	1	5	Sprint 6	16
ToDo List		TdVBd	Done in Sprint 6		User Story	1			
Receive private messages	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/49	cemuelle	Done in Sprint 6	Backend	Sprint Task	1	3	Sprint 6	4
Write private messages	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/48	cemuelle	Done in Sprint 6	Backend	Sprint Task	1	2	Sprint 6	4
Stop location tracking bug fixing	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/87	Ovoland	Done in Sprint 6	Backend	Sprint Task	1	3	Sprint 6	3
Create Group Modifie Page	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/102	oliver216	Done in Sprint 6	Frontend	Sprint Task	2	8	Sprint 6	14
ToDo UI	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/42	TdVBd	Done in Sprint 5	Frontend	Sprint Task	1	3	Sprint 5	4
ToDo List Utilitary Functions	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/46	TdVBd	Done in Sprint 5	Backend	Sprint Task	1	4	Sprint 5	4
Generalize the format of Column, Lazy Column and  Scaffold	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/77	Ovoland	Done in Sprint 4	Frontend	Sprint Task	1	2	Sprint 4	3
Correct the "card" of the Solo Study to have the correct name, icons and destination	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/76	Ovoland	Done in Sprint 4	Frontend	Sprint Task	1	3	Sprint 4	3
Update the topics and settings pannels in the Figma	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/70	TdVBd	Done in Sprint 4	Figma	Sprint Task	1	4	Sprint 4	4
