Title	URL	Assignees	Status	Task Type	Nature	Epic	Time Estimation	Sprint	Time Taken
Channels	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/18		Product Backlog		User Story	1			
Strengths 	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/21		Product Backlog		User Story	1			
Application Locker	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/7		Product Backlog		User Story	2			
Video Call	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/8		Product Backlog		User Story	2		Sprint 9	
Manage group	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/225		Product Backlog		User Story	2		Sprint 9	
Chat features	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/227		Product Backlog		User Story	2		Sprint 9	
Epic 1			Product Backlog		User Story	1			
Epic 2			Product Backlog		User Story	2			
Delete Event /continue changing the Ui		hanelmouta	Sprint Backlog						
Remove security issues (video call API)	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/154	Freezemoon	Sprint Backlog	Backend	Sprint Task	1	3	Sprint 9	
Video Call: Implement message if permissions denied	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/206	Freezemoon	Sprint Backlog	Frontend	Sprint Task	2		Sprint 9	
Video Call : Fix bugs	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/198	Freezemoon	Sprint Backlog	Backend	Sprint Task	2		Sprint 9	
Topic resources	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/210	Svannia	Sprint Backlog	Backend	Sprint Task	2	8	Sprint 10	
topic item UX update	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/166	Svannia	Done in Sprint 8	Frontend	Sprint Task	4	7.5		
Complete the contactlist feature	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/223	TdVBd	Sprint Backlog		Sprint Task		4	Sprint 9	
clean up and uniformize the UI components	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/105	TdVBd	Sprint Backlog	Frontend	Sprint Task	2	3	Sprint 8	
Strengths	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/143	Svannia	In Development	Backend	Sprint Task	2	7	Sprint 9	
